Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Data Scientist I,"Austin, TX","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",57963,64331,71325,77087,82332
Data Scientist I,"Jacksonville, FL","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",55859,61996,68736,74288,79344
Data Scientist I,"Fort Worth, TX","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",57427,63736,70666,76374,81571
Data Scientist I,"Columbus, OH","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",58140,64527,71543,77322,82583
Data Scientist I,"Charlotte, NC","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",57732,64074,71041,76779,82004
Data Scientist I,"San Francisco, CA","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",73669,81762,90652,97975,104642
Data Scientist I,"Indianapolis, IN","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",57344,63644,70564,76264,81453
Data Scientist I,"Seattle, WA","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",64440,71519,79295,85701,91532
Data Scientist I,"Denver, CO","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",59601,66149,73341,79266,84659
Data Scientist I,"Washington, DC","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",65607,72814,80731,87252,93190
Data Scientist I,"Boston, MA","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",66402,73697,81710,88311,94320
Data Scientist I,"El Paso, TX","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",51549,57212,63433,68556,73222
Data Scientist I,"Nashville, TN","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",54771,60788,67397,72842,77798
Data Scientist I,"Detroit, MI","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",59943,66528,73762,79720,85145
Data Scientist I,"Oklahoma City, OK","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",53837,59752,66249,71600,76472
Data Scientist I,"Portland, OR","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",61185,67907,75291,81372,86910
Data Scientist I,"Las Vegas, NV","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",60202,66816,74081,80065,85513
Data Scientist I,"Memphis, TN","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",54615,60615,67206,72635,77577
Data Scientist I,"Louisville, KY","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",55576,61682,68388,73912,78942
Data Scientist I,"Baltimore, MD","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",60585,67241,74552,80574,86057
Data Scientist I,"Milwaukee, WI","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",58328,64736,71774,77572,82850
Data Scientist I,"Albuquerque, NM","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",55175,61237,67895,73379,78372
Data Scientist I,"Tucson, AZ","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",55375,61459,68141,73646,78657
Data Scientist I,"Fresno, CA","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",58629,65070,72145,77972,83278
Data Scientist I,"Mesa, AZ","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",58228,64625,71651,77439,82709
Data Scientist I,"Sacramento, CA","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",63703,70702,78389,84721,90486
Data Scientist I,"Atlanta, GA","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",58298,64703,71738,77533,82808
Data Scientist I,"Kansas City, MO","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",57798,64148,71122,76867,82098
Data Scientist I,"Colorado Springs, CO","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",58658,65103,72181,78011,83320
Data Scientist I,"Omaha, NE","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",55720,61841,68565,74103,79146
Data Scientist I,"Raleigh, NC","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",57032,63297,70179,75848,81009
Data Scientist I,"Miami, FL","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",57374,63677,70601,76304,81496
Data Scientist I,"Long Beach, CA","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",65713,72932,80862,87394,93340
Data Scientist I,"Virginia Beach, VA","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",56342,62532,69331,74931,80030
Data Scientist I,"Oakland, CA","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",70133,77838,86301,93272,99619
Data Scientist I,"Minneapolis, MN","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",62790,69688,77265,83506,89188
Data Scientist I,"Tulsa, OK","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",56542,62754,69577,75198,80315
Data Scientist I,"Tampa, FL","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",56094,62257,69026,74602,79678
Data Scientist I,"Arlington, TX","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",57333,63631,70550,76249,81437
Data Scientist I,"New Orleans, LA","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",58302,64707,71742,77537,82813
Data Scientist I,"Wichita, KS","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",56755,62990,69838,75480,80616
Data Scientist I,"Bakersfield, CA","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",63120,70054,77671,83945,89657
Data Scientist I,"Cleveland, OH","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",58334,64743,71782,77580,82860
Data Scientist I,"Aurora, CO","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",59562,66105,73293,79213,84603
Data Scientist I,"Anaheim, CA","Data Scientist I identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently. Being a Data Scientist I designs, develops and implements the most valuable business solutions for the organization. Prepares big data, implements data models and develops database to support the business solutions. Additionally, Data Scientist I may require an advanced degree. Typically reports to a manager. The Data Scientist I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Data Scientist I typically requires 0-2 years of related experience.",65860,73096,81043,87589,93550
